id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
78165,78401,143275,5953,,7Del Sco,Dschubba,16.005557,-22.62171,150.6024,-8.67,-36.9,-7,2.29,-3.599,B0.2IV,-0.117,-69.332609,-120.492107,-57.928452,0.00000298,0.00001787,-0.00002211,4.190245125,-0.394823319,-4.20E-08,-1.79E-07,Del,7,Sco,1,78165,,2396.624529,Del,2.299,2.279
53905,54061,95689,4301,,50Alp UMa,Dubhe,11.062155,61.751033,37.679,-136.46,-35.25,-9,1.81,-1.07,F7V comp,1.061,-17.298705,4.33488,33.191332,0.00000478,0.0000245,-0.00001116,2.89606535,1.077758845,-6.62E-07,-1.71E-07,Alp,50,UMa,1,53905,,233.3458062,,,
106972,107315,206778,8308,,8Eps Peg,Enif,21.736433,9.875011,211.4165,30.02,1.38,5,2.38,-4.246,K2Ibvar,1.52,172.769915,-116.330918,36.25782,0.00002116,0.00002284,0.00000227,5.690584775,0.17235146,1.46E-07,6.69E-09,Eps,8,Peg,1,106972,,4349.106072,Eps,2.404,2.364
87561,87833,164058,6705,,33Gam Dra,Etamin,17.943437,51.488895,47.3037,-8.52,-23.05,-28,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-0.00000175,0.00001372,-0.0000257,4.697580792,0.898650744,-4.13E-08,-1.12E-07,Gam,33,Dra,1,87561,,247.5141318,,,
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,22.960838,-29.622236,7.7036,329.22,-164.22,6.1,1.17,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,0.00000561,0.0000112,-0.00000841,6.011133384,-0.517005551,1.60E-06,-7.96E-07,Alp,24,PsA,1,113008,,17.58733354,,,
60893,61084,108903,4763,,Gam Cru,Gacrux,12.519429,-57.113212,27.1518,27.94,-264.33,21,1.59,-0.579,M4III,1.6,-14.606901,-1.998688,-22.800748,0.00001789,-0.00000126,-0.00003693,3.277578929,-0.996813589,1.35E-07,-1.28E-06,Gam,,Cru,1,60893,,148.4567675,,,
102157,102488,197989,7949,Gl 806.1A,53Eps Cyg,Gienah,20.770178,33.970256,22.2916,356.16,330.28,-10.9,2.48,0.739,K0III,1.021,12.262597,-13.834612,12.455654,0.00000944,0.00004737,0.00002337,5.437619819,0.592892816,1.73E-06,1.60E-06,Eps,53,Cyg,1,102157,Gl 806.1,44.09608165,,,
59621,59803,106625,4662,,4Gam Crv,Gienah Ghurab,12.263437,-17.541929,47.1032,-159.58,22.31,-4,2.58,-0.785,B8III,-0.107,-44.805937,-3.095058,-14.197066,-0.00000015,0.00003652,0.00000609,3.210560407,-0.306164426,-7.74E-07,1.08E-07,Gam,4,Crv,1,59621,,179.4733627,,,
36087,36188,58715,2845,,3Bet CMi,Gomeisa,7.452512,8.289315,49.5786,-50.28,-38.45,22,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.0000264,-0.0000059,1.951063059,0.144675847,-2.44E-07,-1.86E-07,Bet,3,CMi,1,36087,,149.4169957,Bet,2.896,2.876
78580,78820,144217,5984,,8Bet1Sco,Graffias,16.09062,-19.805453,123.9157,-6.75,-24.89,-1,2.56,-2.906,B0.5V,-0.065,-55.881427,-102.320756,-41.98604,-0.00000067,0.00000723,-0.00001372,4.212514383,-0.34567037,-3.27E-08,-1.21E-07,Bet-1,8,Sco,1,78580,,1265.901749,,,
57767,57939,103095,4550,Gl 451A,,Groombridge 1830,11.88282,37.718679,9.0917,4003.69,-5813,-99.1,6.42,6.627,G8Vp,0.754,-7.187679,0.220247,5.561623,-0.00008204,-0.00017401,-0.00026465,3.110914983,0.658315145,1.94E-05,-2.82E-05,,,UMa,1,57767,Gl 451,0.194625616,CF,6.546,6.406
68483,68702,122451,5267,,Bet Cen,Hadar,14.063729,-60.373039,120.1923,-33.96,-25.06,6,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-0.00000189,0.00002194,-0.00001255,3.68187566,-1.053708314,-1.65E-07,-1.21E-07,Bet,,Cen,1,68483,,7171.334827,Bet,0.634,0.594
9861,9884,12929,617,Gl 84.3,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898131,0.409496533,9.25E-07,-7.07E-07,Alp,13,Ari,1,9861,,55.66727982,,,
22961,23015,31398,1577,,3Iot Aur,Hassaleh,4.949894,33.16609,151.2859,3.63,-18.54,18,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.295879211,0.578857475,1.76E-08,-8.99E-08,Iot,3,Aur,1,22961,,1673.400907,,,
26176,26241,37043,1899,,44Iot Ori,Hatsya,5.590551,-5.909901,714.2857,2.27,-0.62,22,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-0.00000544,0.00002287,-0.00000445,1.463602742,-0.103147236,1.10E-08,-3.01E-09,Iot,44,Ori,1,26176,,35285.80258,,,
71879,72105,129988,5505,,36Eps Boo,Izar,14.749784,27.074222,62.1118,-50.65,20,-23,2.35,-1.616,A0,0.966,-41.582771,-36.462926,28.269741,0.00000775,0.00002708,-0.00000534,3.861484338,0.472534323,-2.46E-07,9.70E-08,Eps,36,Boo,1,71879,,385.8335599,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.359830239,-0.785719603,3.15E-05,-2.78E-05,,,Pic,1,24129,,0.003808904,VZ,9.148,8.828
89906,90185,169022,6879,,20Eps Sgr,Kaus Australis,18.402868,-34.384616,43.9367,-39.61,-124.05,-15,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-0.00001129,0.00002654,-0.00001314,4.817859453,-0.600124762,-1.92E-07,-6.01E-07,Eps,20,Sgr,1,89906,,323.2957534,,,
90217,90496,169916,6913,Gl 713.1,22Lam Sgr,Kaus Borealis,18.466179,-25.4217,23.9693,-44.81,-186.29,-43.2,2.82,0.922,K1IIIb,1.025,2.635486,-21.487046,-10.289309,-0.00001116,0.0000482,-0.00000058,4.834434275,-0.443692368,-2.17E-07,-9.03E-07,Lam,22,Sgr,1,90217,,37.25632385,,,
89653,89931,168454,6859,,19Del Sgr,Kaus Meridionalis,18.3499,-29.828103,106.6098,29.96,-26.38,-20,2.72,-2.419,K3III,1.38,8.460232,-92.098382,-53.027575,0.00001318,0.00002584,-0.00000165,4.803992513,-0.52059861,1.45E-07,-1.28E-07,Del,19,Sgr,1,89653,,808.3510374,,,
